date,adjusted_close
2023-09-15,434.6795
2023-09-18,434.9344
2023-09-19,434.0325
2023-09-20,430.0422
2023-09-21,422.9343
2023-09-22,421.9834
2023-09-25,423.7579
2023-09-26,417.5323
2023-09-27,417.699
2023-09-28,420.1206
2023-09-29,419.101
2023-10-02,418.9343
2023-10-03,413.3264
2023-10-04,416.3363
2023-10-05,416.1794
2023-10-06,421.1206
2023-10-09,423.8167
2023-10-10,426.0226
2023-10-11,427.7677
2023-10-12,425.1599
2023-10-13,423.0422
2023-10-16,427.4932
2023-10-17,427.4736
2023-10-18,421.7775
2023-10-19,418.0716
2023-10-20,412.9343
2023-10-23,412.2186
2023-10-24,415.3264
2023-10-25,409.3656
2023-10-26,404.4636
2023-10-27,402.6303
2023-10-30,407.444
2023-10-31,410.0029
2023-11-01,414.3755
2023-11-02,422.3167
2023-11-03,426.1697
2023-11-06,427.1501
2023-11-07,428.3658
2023-11-08,428.6795
2023-11-09,425.3363
2023-11-10,431.9736
2023-11-13,431.5619
2023-11-14,439.9345
2023-11-15,440.8658
2023-11-16,441.4051
2023-11-17,441.9541
2023-11-20,445.3561
2023-11-21,444.3855
2023-11-22,446.1012
2023-11-24,446.3757
2023-11-27,445.5718
2023-11-28,446.0129
2023-11-29,445.6992
2023-11-30,447.4541
2023-12-01,450.1012
2023-12-04,447.7384
2023-12-05,447.6502
2023-12-06,445.8463
2023-12-07,449.2483
2023-12-08,451.1796
2023-12-11,452.9346
2023-12-12,455.0032
2023-12-13,461.2778
2023-12-14,462.7582
2023-12-15,461.9962
2023-12-18,464.595
2023-12-19,467.4201
2023-12-20,460.943
2023-12-21,465.3136
2023-12-22,466.2487
2023-12-26,468.2175
2023-12-27,469.0641
2023-12-28,469.2412
2023-12-29,467.8828
2024-01-02,465.2644
2024-01-03,461.4647
2024-01-04,459.9783
2024-01-05,460.6083
2024-01-08,467.1839
2024-01-09,466.4752
2024-01-10,469.1133
2024-01-11,468.9066
2024-01-12,469.2314
2024-01-16,467.5087
2024-01-17,464.91
2024-01-18,469.0444
2024-01-19,474.8915
2024-01-22,475.8956
2024-01-23,477.2836
2024-01-24,477.8053
2024-01-25,480.404
2024-01-26,479.7937
2024-01-29,483.5934
2024-01-30,483.2194
2024-01-31,475.3345
2024-02-01,481.5558
2024-02-02,486.6253
2024-02-05,484.8534
2024-02-06,486.2611
2024-02-07,490.3167
2024-02-08,490.5333
2024-02-09,493.3682
2024-02-12,493.1517
2024-02-13,486.3595
2024-02-14,490.7793
2024-02-15,494.1656
2024-02-16,491.7047
2024-02-20,488.9976
2024-02-21,489.4406
2024-02-22,499.5698
2024-02-23,499.9143
2024-02-26,498.0834
2024-02-27,499.0087
2024-02-28,498.3492
2024-02-29,500.1407
2024-03-01,504.8362
2024-03-04,504.2948
2024-03-05,499.2548
2024-03-06,501.7846
2024-03-07,506.7656
2024-03-08,503.7239
2024-03-11,503.2907
2024-03-12,508.7048
